id,page_title,h1_content,iframe_src,markdown_file,prev_id,prev_text,next_id,next_text
01.intro,OWL Odoo 17 - Intro,Intro OWL,https://drive.google.com/file/d/1V_TPUB9KRpJYnAvSp4z6NxmfUsTfDYQh/preview,tutorials/01.intro.md,,,02.environment,Next 02 Environment
02.environment,OWL Odoo 17 - Environtment,Environtment OWL,https://drive.google.com/file/d/1kcQsp0TNB9tuz5x8R5xlop9rXEC8SwNt/preview,tutorials/02.environtment.md,01.intro,Prev 01. Intro,03.assets_bundles,Next 03 Assets & Bundles
03.assets_bundles,OWL Odoo 17 - Assets & Bundles,Assets & Bundles,https://drive.google.com/file/d/1oRo0ZJwen-h8WGvN26xHq8MTrKGJ5oQ0/preview,tutorials/03.assets_bundles.md,02.environtmend,Prev 02. Environtmend,04.hand-on_setup,Next 04 Hand-on Setup
04.hand-on_setup,OWL Odoo 17 - Hand-on Setup,Hand-on Setup,https://drive.google.com/file/d/1AU1WLxYGofqueiupAX_7JHBqSMsa-paj/preview,tutorials/04.hand-on_setup.md,03.assets_bundles,Prev 03 Assets & Bundles,05.components,Next 05 Components
05.components,OWL Odoo 17 - Components,Components,https://drive.google.com/file/d/1S7YcZrBFnEg43JQVv5UAvPsJo9_TQ2Lc/preview,tutorials/05.components.md,04.hand-on_setup,Prev 04 Hand-on Setup,06.tips_tricks,Next 06 Tips & Tricks
06.tips_tricks,OWL Odoo 17 - Tips & Tricks,Tips & Tricks,https://drive.google.com/file/d/1VFNnC2PAkFvKjtDPd3qamUlka8ClgSgf/preview,tutorials/06.tips_tricks.md,05.components,Prev 05 Components,07.hands-on_put_component_in_backend_view,Next 07 Hands-on Put Component in Backend View
07.hands-on_put_component_in_backend_view,OWL Odoo 17 - Hands-on Put Component in Backend View,Hands-on Put Component in Backend View,https://drive.google.com/file/d/1dxV_AunhJFLssXe5Z79WrZaVYrqb9ln-/preview,tutorials/07.hands-on_put_component_in_backend_view.md,06.tips_tricks,Prev 06 Tips & Tricks,08.sub-components,Next 08 Sub-components
08.sub-components,OWL Odoo 17 - Sub-components,Sub-components,https://drive.google.com/file/d/1gDS8_BL6PndwTL7cIORp0uUe1cFaK7Rk/preview,tutorials/08.sub-components.md,07.hands-on_put_component_in_backend_view,Prev 07 Hands-on Put Component in Backend View,09.templates,Next 09 Templates
09.templates,OWL Odoo 17 - Templates,Templates,https://drive.google.com/file/d/1rBaRLbm7K4vcxMVMFlshRpiJsaY_gos-/preview,tutorials/09.templates.md,08.sub-components,Prev 08 Sub-components,10.rendering_context,Next 10 Rendering Context
10.rendering_context,OWL Odoo 17 - Rendering Context,Rendering Context,https://drive.google.com/file/d/1PNW9sGPI6UKWFdeSAEg1KqMW_vGKrIlI/preview,tutorials/10.rendering_context.md,09.templates,Prev 09 Templates,11.slots,Next 11 Slots
11.slots,OWL Odoo 17 - Slots,Slots,https://drive.google.com/file/d/1gEIVqPjV6VXsJRb7zFfMgNGJ02UbCBx-/preview,tutorials/11.slots.md,10.rendering_context,Prev 10 Rendering Context,12.events,Next 12 Events
12.events,OWL Odoo 17 - Events,Events,https://drive.google.com/file/d/1MEBX98K55xtqyMwCu6hIEJRoco0UhUz1/preview,tutorials/12.events.md,11.slots,Prev 11 Slots,13.component_lifecycle,Next 13 Component Lifecycle
13.component_lifecycle,OWL Odoo 17 - Component Lifecycle,Component Lifecycle,https://drive.google.com/file/d/1Y99Jm7gyL3d8nzn8S70TBQcMeZN6UjR4/preview,tutorials/13.component_lifecycle.md,12.events,Prev 12 Events,14.hooks,Next 14 Hooks
14.hooks,OWL Odoo 17 - Hooks,Hooks,https://drive.google.com/file/d/1Vr6a6PRpgIMg_3fpOxyKY6TRibujq67G/preview,tutorials/14.hooks.md,13.component_lifecycle,Prev 13 Component Lifecycle,15.state_management,Next 15 State Management
15.state_management,OWL Odoo 17 - State Management,State Management,https://drive.google.com/file/d/1l08O2e5aaQ1BsijZTmp3lI1H7QrKmQ8i/preview,tutorials/15.state_management.md,14.hooks,Prev 14 Hooks,16.ref,Next 16 Ref
16.ref,OWL Odoo 17 - Ref,Ref,https://drive.google.com/file/d/1-aI-M4UspMgyoqNvH3-PLyTl0DUmIt5K/preview,tutorials/16.ref.md,15.state_management,Prev 15 State Management,17.environment,Next 17 Environment
17.environment,OWL Odoo 17 - Environment,Environment,https://drive.google.com/file/d/1nlgvkFVhwOr6cbp8spAUFH1wTj7DsIMU/preview,tutorials/17.environment.md,16.ref,Prev 16 Ref,18.services,Next 18 Services
18.services,OWL Odoo 17 - Services,Services,https://drive.google.com/file/d/1cgEeKwnOyhIjvVbscRtO1I6Wn0TEvLN6/preview,tutorials/18.services.md,17.environment,Prev 17 Environment,19.orm_service,Next 19 ORM Service
19.orm_service,OWL Odoo 17 - ORM Service,ORM Service,https://drive.google.com/file/d/1AKDFtQTjo6lM-c7PSmS42AQ5ZjPTRNqY/preview,tutorials/19.orm_service.md,18.services,Prev 18 Services,20.extending_standard_code,Next 20 Extending Standard Code
20.extending_standard_code,OWL Odoo 17 - Extending Standard Code,Extending Standard Code,https://drive.google.com/file/d/1YGRkxeAN6y5-S2jBMQYfwPIE2Gye_s6Y/preview,tutorials/20.extending_standard_code.md,19.orm_service,Prev 19 ORM Service,,